# nouns_morph
# =================


# HUMANS AND HUMANLIKES
# =====================

# Bárrastávval
# FAMILY
áddjá	bestefar, gammel mann
	njoammilbivdi	harejeger
	nuoraidbargi	ungdomsarbeider
	gielis	løgn
	giella	snare
	earán	ærend
	buoidegaccat	kjøttmeis
	bižos	heilo
hápmi	utseende
čoavddus	løsning
telefonnummar
poastamearka
balddonas
boađus
diehtu
dievvá
dulvi
e-boastačujuhus
fápmu
geasseorohat
goahtemuorra

ipmil
joavku
kilu
kinobileahtta
káija
loavdda
láhka
lávvomuorra
moalla
muitu
muohtaeŋgel
muohtaáddjá

máilbmesoahti
mánoheahpi
mánáid-TV
mátkedihtor
ovddasvástádus
pistovla
prográmma
ravda
ráfi
ráigi
soahti
stággu
vuorru
ávnnas
čiehkačievččasteapmi


# Word from algokursa:

bargobierggas	
beavdeguorra	ved bordet
biergoskadjá	kjøttskjå
boađđu	grunne
borranbeavdi	spisebord
bábir	papir
báhkka	hete
bákti	berg
dienas	fortjeneste
doavttirskuvla	medisinstudium
dovdu	følelse
duodjegávpi	duodjeutsalg
duodječájáhus	duodjeutstilling
dárra	tare
dáčča	nordmann
earri	mengde
fabrihkkarátnu	fabrikkteppe
fanasgoahti	båtgamme
fielbmá	bekk
fiervábuvri	fjærbu
fylkkaviessu	fylkeshus
fálaldat	tilbud
garra	skall
gaska	avstand
gavja	støv
geassenávet	sommerfjøs
giellavealgu
goartil	kvart
goaŋku	kokepinne
gohpi	grop
gohppi	bukt
gohttensadji	campingplass
goikeborramuš	tørrmat	
gorsa	kløft
gorži	foss
guolleoaivi	fiskehode
guolleskadjá	fiskeskjå
gurra	kløft
gáibmi	navnesøster, navnebror
gáisi	tind
gáivvovindi	vippebrønn
gárgu
gávpegálvu	handelsvare
headjaskeaŋka	bryllupsgave
hárjehus	øving
ipmilbálvalus	gudstjeneste
jagiáigi	årstid
jearransátni	spørreord
jiehkki	isbre
juoigankonsearta	joikekonsert
juovva	steinur
kaleanddar	kalender
keaksa	kjeks
koarra	kor
kontu	konto
kursalatnja	kursrom
kvárta	kvart
lastagoahti	løvløe
leahki	
lieggariika
liehmu
liemas
lohkka
lohku
luoikkas
luoppal
láddu
láhkaoahppa
meahcceládju
meallu
mielli
modji
mohkki
moivi
muotki
mánáid-TV
mátkelihppu
nagir
njirran
nohkkanlatnja
náitalanbeaivi
náitaleapmi
návetfeaskkir
návste
oahpahus
oahpahuslatnja
olbmáš
orda
orrit
orru
orrunbáiki
orrunviessu
readdju
reašši
riidi
roavgu
rohkajáffu
rohtu
láhtu
rátnomuorra
rávjá
rášša
savu
savvon
skadjá
skuovva
skáidi
snáldu
sohkarbihttá
stálla
telefonnummir
telefovdna
telefuvdna
teáhterčájálmas
tunealla
viessobargu
vuopmi
vuoššanmuorra
várdu
ája
álddagas
álli
ásodat
ávži
čahca
čižži
čoalbmi
čohkka
čohkkánsadji
čorru
čuorpmas
čállinmášiidna
šearbma
