1.1.	лимбя ирийʼ нюртей яля
12.12.	ӈарка пэвдей ирийʼ нябимдей яӈгня яля

13.12.	ӈарка пэвдей ирийʼ няхарамдэй яӈгня яля

14.12.	ӈарка пэвдей ирийʼ тетимдей яӈгня яля

15.12.	ӈарка пэвдей ирийʼ самлязимдей яӈгня яля

16.12.	ӈарка пэвдей ирийʼ маттамдэй яӈгня яля

17.12.	ӈарка пэвдей ирийʼ сиˮивумдей яӈгня яля

18.12.	ӈарка пэвдей ирийʼ сиднтетимдей яӈгня яля

19.12.	ӈарка пэвдей ирийʼ хасуюдимдей яӈгня яля

20.12.	ӈарка пэвдей ирийʼ сидя юдимдей яля

21.12.	ӈарка пэвдей ирийʼ сидя юˮ нюртей яля

22.12.	ӈарка пэвдей ирийʼ сидя юˮ нябимдей яля

23.12.	ӈарка пэвдей ирийʼ сидя юˮ няхарамдэй яля

24.12.	ӈарка пэвдей ирийʼ сидя юˮ тетимдей яля

25.12.	ӈарка пэвдей ирийʼ сидя юˮ самлязимдей яля

26.12.	ӈарка пэвдей ирийʼ сидя юˮ маттамдэй яля

27.12.	ӈарка пэвдей ирийʼ сидя юˮ сиˮивумдей яля

28.12.	ӈарка пэвдей ирийʼ сидя юˮ сиднтетимдей яля

29.12.	ӈарка пэвдей ирийʼ сидя юˮ хасуюдимдей яля

30.12.	ӈарка пэвдей ирийʼ няхарˮ юдимдей яля

31.12.	ӈарка пэвдей ирийʼ няхарˮ юˮ нюртей яля

