aadtjegh	vastikään, vasta, juuri
gåetiesijjie	kotasija, talon paikka
gåhkasjidh	kaivata, pitää kauan kestävänä
gåhkese	kauas
gåhkoe	pituus
gåmma	vaimo; eukko
gåmmebe	vaimo
gåmpoe	väinönputkesta ja kirnupiimästä valmistettu ruoka
gåptoe	lapintakki
gårkasidh	vuotaa, valua
gårredidh	sitoa
gårreldihkie	sidottuna
gårroeh	vase(mmanpuoleine)n
gårroehbielie	vasen puoli
gåvva	hyvä, helppo
gåårvedidh	pukeutua
gåårveldihkie	pukeutuneena
gååvnesidh	löytyä, olla olemassa
haabpe	poron etujalan ylempi ydinluu
haaj	hei
haajpanidh	kadota, hävitä, häipyä
haampeldidh	huovata	
haarhtje	astia, taloustarvike
haaskoe	jäte, roska
haavjoelidh	hävitä, kadota (nopeasti)
haelsie	hopeakaulus (naisen puvussa)
haeniedidh	jankuttaa
haepkie	haukka
haermie	kulmakarvat
haevtie	aukko, kuilu, syvänne
hahtadidh	keksiä, hoksata, saada idea
hæhtadidh	keksiä, hoksata, saada idea
hahtjoe	mökki
hajkedh	juosta (eläin); heittää
hajkelidh	juosta (tiehensä)
hapsahtalledh	haistella; vainuta
hapse	haju
hapsoe	haju
harhtsoeh	kovakourainen, huolimaton
healma	hame
hearra	pappi
hearskoes	herkullinen
hearskoe	herkullinen
heektove	sata grammaa
heelsege	terveinen
heelsedh	sanoa terveisiä
heesedh	hajottaa, levittää ympäriinsä
hepsedh	haistaa
hepsiehtidh	haistella
herrehke	tikku, keppi, puikko, palikka
hïegke	henki
hïeje	häät
hïejeguvvie	hääkuva
hïejme	koti
hïelje	pyhä(päivä)
hierkie	hevonen
hïerpedh	säikähtää, pelästyä
hievnienviermie	hämähäkinseitti
hijven	hyvä, hyvin
hijvenlaakan	hyvin
hïngse	varpu
hingsedålle	varputuli
hinnedh	ehtiä, saada aikaiseksi
hoejhkesjidh	huutaa, huikata
hoksehtæjja	tarjoilija
horhtje	1 1/3 – 2 1/3 vuotias urosporo
hosbåanta	maanviljelijä
hov	toki; han, hän
huhtedh	haukkua
huinesne	surullinen, huolestunut
hurrie	(uros)teeri
hæhtjoe	mökki
hævvi	tietenkin
hööptedh	estää
håagke	ongenkoukku
håagk’staavra	ongenvapa
håagkije	onkija
håagkodh	onkia
håajje	kasa
håajsodh	kyetä, jaksaa
åajsodh	kyetä, jaksaa
håalodh	puhua, pitää puhe
håangke	suvanto, jurmu	
åangke	suvanto, jurmu	
hååkene	taipuvainen
ïebne	aines
ïedtje	into
iehkede	ilta
iehkedi	iltaisin
iehkedsbiejjie	iltapäivä
iehkedsbeapmoe	iltaruoka
ïentje	niitty
ïehterdahke	kylki(pala)
ietnie	emo
ietniengïele	äidinkieli
ihke	koska, joten
ijje	ei
iktesth	jatkuvasti
iktegisth	jatkuvasti
ikth	kerran
ikth gåessie	toisinaan, jonkin kerran
illedh	saada päätökseen, lopettaa, täyttää
inhtsie	erityisesti
isvelihke	hirveä, kauhea, kamala
jaa	kyllä
jaa nov maa	jo toki, kyllä vain
jaavoe	kyllä
jeavoe	kyllä
jaavvoe	jauho(t)
jaavvoeh	jauho(t)
jadtehtidh	laskea (verkkoja)
jaepie	vuosi
jaepieboelhke	vuodenaika
jaevrie	järvi
jaksedh	saavuttaa, ulottua
jakselidh	saavuttaa, tavoittaa (nopeasti)
jakseme mieresne	käsillä, lähellä
jaksoes	käsillä oleva, saavutettavissa oleva
jalhts	vaikka
jalke	tasainen
jallan	hädin tuskin
jalle	korkea
jïlle	korkea
jallh	tai, eli
jalloe	korkeus
jamhkelidh	sammuttaa; hävittää, tuhota
jamhkedh	sammua
jarhpoeh	vallaton, (rasa)villi
jarkoestidh	muuttaa, kääntää; vaihtaa (kieltä)
jarngesne	keskellä
jassije	paksu
jassijes	paksu
jeananidh	enetä, lisääntyä
jeatjah	toiset, muut
jeatjebh	toiset
jeenemes	enin
jeestere	hiiva
jeeste	hiiva
jerkiehtidh	kääntyä (nopeasti) takaisin 
jidtedh	irvistellä
jeedtedh	irvistellä
jiehtedh	sanoa
jïejkedh	epäröidä
jiekie	isän isoveli
jiekuve	pikkuveljen lapsi (jiekielle)
jieledh	elää
jieleme	elämä, elo
jielijeguvvie	elokuva
jienebh	enemmän, useammat
jïenehke	suurin osa
jïenge	jää
jïevege	peitto, peite
jïevehtasse	lakana
jih	ja
jijhtedh	itää, tulla esiin
jijhtelidh	tulla esiin, näkyviin
jijhtiestidh	tulla hiukan näkyviin
jïjje	yö
jïjjegåårtese	yösija; yönseutu
jijjehtovvedh	yöpyä; jäädä yön selkään
jïjjen	yöllä
jijmie	täti (isän tai äidin veljen vaimo)
jijmuve	aviomiehen veljen tai siskon lapsi (jijmielle)
jïjnjesh	moni, monet
jïjnje	paljon
jïjnjh	monet, paljon
jïjse	tunturipöllö
jïjtje	itse
jïjtjehke	varsinainen, itse
jijtjemsh	(he) itsensä
jijtse	oma
jïlle	korkea
jillehtje	länsipuoli
jïllemsgenhtseme	takakaihdin (poron sarvessa)
jillene	lännessä
jïlleskenteme	= jïllemsgenhtseme
jillielistie	lännestä, lännempää
jimkelidh	sammuttaa
jïpsadidh	kipsata
jïpse	kipsi
jirrede	huomispäivä
jirreden	huomenna
jïrreme	ydin(luu)
jis	puolestaan
jissehts	ohut
joe	jo
joejkedh	joikata
joejkestidh	joikaista
joekedidh	jakaa, jaella
joekoen	varsin, erityisen; erityinen
joevenidh	levitä, levittäytyä
johkebeala	joen ranta
johketje	pikkujoki
johtehtjidh	lähteä jutamaan
joknge	puolukka
joptse	keitto, velli
jorpe	pyöreä
jorpehke	pyöreä
jovje	vaaleanharmaa poro (vaaleampi kuin båavjoeh)
joevje	vaaleanharmaa poro (vaaleampi kuin båavjoeh)
jovkedh	juoda
jovkemes	juoma, juotava
jovnesåhkoeh	juhannus
jovven	jo vain
jualketje	pikku jalka
juassah	aikaisemmin, sitten
juekedh	jakaa
juelkie	jalka
jueskebe	kylmempi (sää)
jueskie	kylmä sää
juhtedh	muuttaa, siirtyä, kulkea
juhteles	nopea kulkemaan, luistava
juhtele	nopea kulkemaan, luistava
juhtiehtidh	auttaa muuttamaan, auttaa siirtymään
juktie	niin että
jurjiehtidh	tehdä, laittaa, valmistaa (ruokaa)
juvre	(peto)eläin
jyöne	eno, (mies)serkku
jöödtedh	jestas
jöömmetjh	kaksoset
jöörtedh	oleskella, viipyä, pysytellä
jyörtedh	oleskella, viipyä, pysytellä
jåarhkeskuvle	lukio
jåasoeh	tyhmä
jåaskoestidh	jäähtyä vähän
jåhtajidh	lähteä liikkeelle
jårrehtidh	kääntää ylösalaisin, tosinpäin
jåvle	joulu
jåvleaajja	jouluukko, joulupukki
jåvlebiejjie	joulupäivä
jåvleeejehtalleme	joululoma
jåvlegoese	joulukuusi
jåvlekåarhte	joulukortti
jåvlemoere	joulupuu
jåvlevadtese	joululahja
jååktan	eilen
jååktetjeiehkeden	eilisiltana
jåårke	vastapäätä
kaanne	ehkä
kaarhte	kartta
kaarre	mies
kilovmeter	kilometri
klaahka	sauva
klaahtoehtidh	leikkiä, pitää hauskaa	
klaasetjelmieh	silmälasit
klaase	ikkuna
klaasse	luokka
klaerie	väri
klaeriedidh	värjätä, värittää
klajkoehtidh	kukkua
klienjiedidh	välkkyä
klovperdidh	olla lumisokea
klovse	albiinoporo; vaalea(hiuksinen)
klåenkiehtidh	soida (kirkonkello)
klååmsehth (vearelde)	epävakainen sää, jolloin savu tulee sisään
konhtovre	konttori, toimisto
konhtovrebarkije	toimistotyöntekijä
konhtovrebarkoe	toimistotyö
konhtovreåvtehke	toimistopäällikkö
konhtovreviehkie	toimistoapulainen
kraanna	naapuri	
kraesie	heinä; kasvi
kraevies	harmaa
kraeviesjovje	harmaanvalkoinen poro
krïbpesjidh	vaatia
krievvie	poroelo, porotokka
krïjhte	liitu
krinngehke	vikkelästi (edestakaisin)
krist’aehtjie	kummisetä
kristesovvedh	tulla kastetuksi, saada kaste
krist’ietnie	kummitäti
kroehkedh	kaivaa; haudata; raaputtaa
kroehkememaasjina	kaivinkone
kroenes	vihreä
krovhte	pata
kruana	vihreä
kruepies	karkea
kruepemes	karkein
kröövvehtidh	taivuttaa, käyristää
kråane	nurkka
kråavhkasjidh	maata käpertyneenä
kråavvegidh	käyristyä
kråvna	kruunu
kråvnoe	kruunu
kråånedidh	vihertää, tulla vihreäksi
kuvsjh	kurssi(t)
kveita	ruijanpallas
kåahpe	kuppi
kåalhta	paistinpannu
kåarhte	kortti
kåava	porstua, eteinen
kåvrohte	unenpöpperöinen
laadtege	hilla, suomuurain
laadtegenlaste	suomuuraimen lehti
laadthbïekere	hillasuo
laadthpluevie	hillasuo
laahkoe	sukulaisuussana
laake	laki
laakan	lailla, tapaan; kaltainen
laante	maa, alue
laanteburriekonhtovre	maanviljelyskonttori
laapestidh	levittäytyä (savu tai sumu)
laatege	latu; moottorikelkan jälki
laavkodh	kylvettää; kastaa
laavkome	kaste
laavlodh	laulaa
laavloe	laulu
laavlomegærja	laulukirja
laavadahke	lauantai
laavvadahke	lauantai
ladtetje	pikkulintu
laehpedh	jättää
laedtie	maanviljelijä, talollinen, eisaamelainen
laejhtedh	moittia
laejkie	lanka
laejpie	litteä leipä
laejpietjaalege	leiväntekoohje, resepti
laetjedh	sijata vuode
laatjodh	sijata vuode
laevie	sukulainen, pikkuserkku
laeviehkadtjh	pikkuserkut (keskenään)	
laeviestidh	nimittää, puhutella laevieksi
lahkaskidh	onnistua
lahkoe	onni
lahkoehtidh	onnitella, toivottaa onnea
laste	lehti
latjkedh	sopia (keskenään)
leahpa	matkalippu
leavadimmie	melu, metelöinti
leavloe	paino
ledtie	lintu
ledtjie	onkohan
leejjedh	vuokrata
leekedidh	teurastaa useita eläimiä
leekedæjja	teurastaja
leeredh	opettaa
leerehtidh	opettaa (jotakin)
leessedh	lastata, kuormata
leessemebijle	kuormaauto
librie	maksa
liebnedh	kaataa, valaa
lïegkedidh	levätä
lïegkestidh	levähtää
liehtebe	halvempi
liehties	halpa
liejpie	leppä
lïeme	liemi
liemkede	leuto (sää); suoja(sää, keli)
lïenedidh	lämmittää t. jäähdyttää sopivan lämpimäksi
lientsie	nimismies
lïepse	mahapaita, mahan ympärillä oleva rasva
lïeredh	oppia
lïgkedh	peittyä (lumeen)
lïhke	lähellä
lihphgierkie	kivi jossa on kieleke
lihpie	kallionkieleke
lihtie	astia
lihtievåarhkoe	astiakaappi
lïhtse	jäsen, nivel, (selkä)nikama
lïhtsh	selkäranka
lijhtere	litra
lijnie	liina
lijniegaalloe	valkopäinen poro
lijrehtidh	taluttaa
lilla	liila(nvärinen)
lissine	lisäksi
loedte	(porojen) kulkuura lumessa
loekte	lahti
loese	lohi
loevenidh	päästä irti, irrota
loevtenjidtjieh	utareet, jotka ovat niin lähekkäin että ne voi lypsää yhtaikaa
lohkedh	lukea
lohkemegærja	lukukirja
lohkemesh	lukeminen, lukemiset
lohkije	lukija
lohkehtæjja	opettaja
lopme	lumi
lovvedh	kastua
lovvedidh	paneutua makuulle lepäämään (poro)
lovve	märkä
lovves	märkä
luajhtadidh	laskea (aurinko), laskeutua
luajhtasovvedh	päästä irti
luehkie	kansi
luejhtedh	päästää (irti)
luepkedh	halkaista
luhkie	kymmenen
luhkiegåalmede	kolmastoista
luhkiemubpie	kahdestoista
luhkievoestes	yhdestoista
luhpie	lupa, lupaus; sallittu
luhpiedidh	luvata
luhpiehtidh	luvata, myöntyä
luste	huvi(tus); hauska
lusten gaavhtan	huvin vuoksi
lustestalledh	huvitella
lutnjedh	nostaa
luvlielisnie	idempänä
luvnie	luona
luvrege	tottelevainen
lyjhkedh	rakastaa, pitää (jostakin)
lyövlehke	raskas, painava
læhkoe	onni
læjhkan	kuitenkin
lööhpe	vasana tiineeksi tullut poro
lööke	sipuli
löönedh	lainata
löönestidh	lainata vähäksi aikaa
lööpkedh	halkaista (liha tai kala)
löövedh	irrottaa, ottaa irti	
lööveldidh	irrottaa, ottaa irti
löövje	tee
löövles	painava, raskas, vaikea
låadtodh	halkaista, halkoa
låajtoe	loito, kodan (sivustan) lattia
låamme	tasku
loemme	tasku
låavthgåetie	loudekota
låedtjie	tyyni (sää)
låemtie	kesy
låemties	kesy
låepiehtidh	vetää jalkaan (kenkä sitomatta nauhoja)
låapoehtidh	vetää jalkaan (kenkä sitomatta nauhoja)
låevtedh	hyökätä kimppuun, iskeä
låevtedh	kattaa, peittää louteella
låhkede	kymmenes
låhkoe	lukukappale
låpsoedahke	kosteus
låvledhvearelde	itätuuli
låvnedh	nousta ylös
lååjedidh	sarastaa, koittaa (päivä)
maa	kyllä, kai, toki
maadteraahka	esiäiti
maadteraajja	esiisä
maadtere	kodan seinän reuna
maadthgietjie	tyviosa
maadthskuvle	peruskoulu
maahtoe	taito, oppi, opetus
maaje	tosin, vaikkakin
maajetjh	onneksi
maajke	lämmin auringonpaisteeton sää
maajsoe	taakka, kantamus
maake	lanko, setä (tädin tai isosiskon aviomies)
maakenåhke	5 1/3 – 6 1/3 vuotias urosporo
maaketje	vaimon pikkuveli tai sisaren poika
maaksoe	maksu
maales	ateria
maalese	ateria
maam joem	yhtä ja toista
maana	lapsi
maanabaelie	lapsuusaika
maanageehtije	lastenhoitaja, lastenvahti
maanagïerte	lastentarha
maanetje	pikkulapsi
maarhke	(onki)mato
maarhkelihtie	matoastia
maaskedh	sekaantua, sotkeutua
maaskenidh	sotkeutua
madtan	huonosti, niukasti
madtan laakan	huonosti, juuri ja juuri	
madtege	niukka, kehnonlainen
mådtege	niukka, kehnonlainen
madtjeldehtedh	ilahduttaa
madtjeles	iloinen, tyytyväinen
maehtedh	osata
maehtele	taitava
maehteles	taitava
maehtetje	taitava
maeksedh	maksaa	
maelie	(eläimen) veri; (koivun) mahla
maeliegaamsoe	kampsu, veripalttu
maeliegoerve	verimakkara
maereles	taitava, onnekas
maedeles	taitava, onnekas
magkere	mikä, millainen
magkeres	mikä, millainen
mah	ko(han), kö(hän)
mahte	melkein, lähes
man jïjnjh	kuinka monta, kuinka paljon
man åvteste	minkä tähden
mannasinie	miksi, mitä varten
manne	minä
manne mån	minäpä	
marngedh	kääntyä takaisin
marngestidh	vääntää, taittaa kaksinkerroin, kääriä ylös
maskastidh	ommella kiinni, ommella umpeen
måskoestidh	ommella kiinni, ommella umpeen
meajvadovvedh	uupua
mearan	kunnes, sillä aikaa kun
mearhkodh	merkitä (vasoja)
mearoe	meri
measetje	pikkuvasa
measije	vasaisa, paljon vasoja
meatan	mukana, mukaan
mejtie	ko, kö
men	mutta
mennie mieresne	paljonko, missä määrin
mestie	mistä
miedtedh	härnätä, ärsyttää; erehtyä, tehdä väärin
mielhkie	maito
mïelke	rinta(liha)
mïerhke	merkki
mïerhkesjidh	merkitä (vasoja)
miesehke	vaadin, jolla on vasa
miesie	vasa
mietenh	mäti
mietie	myöten	
mïetsedh	napsaa, naksua
mïetske	laho, mätä; mätäkuu; elokuu
mïetskedh	lahota
mij	mikä
mijakt	yksi tai toinen, jokin
milkedh	syödä ja talloa pilalle
milkesovvedh	tulla syödyksi ja tallotuksi
mïnnedh	mennä; käydä
mïnnedidh	käydä useasti, kuljeskella
minngelesmiesie	naaraspuolinen vasa
minngemes	lopuksi	
minngesne	perässä	
minngiegietjie	loppu(osa, pää)
minngiestaebnie	(veneen) perävannas
minudte	minuutti
minuse	miinus
mirhkekruana	tummanvihreä
miste	vahingossa, tarkoittamatta
modtovresaakoe	moottorisaha
moehrele	isosiskon lapsi (muahralle)
moenedh	sanoa, kertoa, virkkaa
moenedidh	arvata
moenjehth	selkiytyvä sää
moere	puu
moeretje	vähän (poltto)puita
mohte	mutta, vaan
mojhtelidh	muistella
mojhtes	muisto, muisti
mojhtese	muisto, muisti
mojjesjidh	hymyillä
motovre	moottori
muadta	turkis(vaate), peski
muahra	täti, äidin pikkusisko
muarjetjh	vähän marjoja
mubpehte	toisesta	
mubpie	toinen
muerkiestidh	kehrätä (kissa)
mujhtedh	muistaa
mullie	pilvinen sää
munnie	muna
murreds	viihtyisä, mukava
murriedidh	viihtyä, voida hyvin
murrie	viihtyisä, rauhaisa
murries	viihtyisä, rauhaisa
musigke	musiikki
mutskedh	olla huono sää
mutskiehtidh	muuttua huonoksi (sää)
muvhte	muutama, joku
myövhkes	pehmeä
möövkes	pehmeä
mænngan	myöhemmin, jälkeen
mænnja	miniä
mööledh	mitata, ottaa mitta
möölege	mitta
möörjedh	poimia marjoja
måanta	maanantai
måarehks	vihainen
måaroe	ruoto; luu
mådtan	huono(kuntoinen)
mådtsoestidh	kääntää (sisäpuoli ulkopuoleksi)
måedtie	moni, muutama
måekie	sadekuuro
måerie	viha
måjhtajidh	(alkaa) muistaa
målsodh	vaihtaa
mån	minä (sanan manne lyhyt muoto)
månnja	käly
månnoeh	me kaksi
måskoestjåelie	umpisuoli	
måsnoes	suuttunut, pahantuulinen
måvhka	housut
måvhkah	housut
naa	kovin, varsin, melko
naajedh	leikata, kaivertaa
naaken	joku
naakene	joku
naaloe	(pyöreä) neula
naan	jokin, mikään
naan gille	jokunen, muutama
naarpehke	ahne, perso, himokas
naatskedh	käydä kimppuun
naavjodh	havaita	
naehkie	nahka; kalanpää
naehpie	nappo, lypsyastia
naemhtie	näin
naepie	napa
nagke	siis
nahkasjidh	jaksaa, voida, kyetä, tulla toimeen
nahkeren	uninen, väsynyt
nahkestidh	nukahtaa
nahkeren	väsynyt
namhtegh	ilman
nannoes	vahva, luja
nænnoes	vahva, luja
napsh	siis, kin
narhkelidh	estää poroja menemästä, ohjata toiseen suuntaan
nastehtehtedh	kohentaa tulta, siirtää puita lähemmäs nuotiossa
nastemeklaahka	tulenkohennuskeppi, hiilihanko
neapede	sisaren lapsi (enolle)
neebnedh	mainita
nehkiehtidh	työntää, tönäistä
nejpie	veitsi
nelhtie	päältä
nelnie	päällä
nïere	hätä
nïejte	tyttö
nïejtetje	tyttönen
niestie	teurasporo; eväs
niestiesvoesse	eväspussi
nille	päälle
nimhtie	näin, täten, tällä tavoin, siten, sitten
nïrre	työkalun varsi, kädensija
njaakedh	hiipiä (luokse)
njaamelijnie	pyyheliina
njaamedh	kuivata, pyyhkiä
njabpestidh	luiskahtaa
njaelkie	maukas, hyvänmakuinen
njaelkies	maukas, hyvänmakuinen
njaelmie	suu
njalhkedigks	liukas
njamma	nänni
njammedh	imeä
njeajkedh	vyöryä, valua alas
njeerpes	ohut, laiha
njeeruve	ruohoa kasvava ylätasanko
njeervedh	jauhaa
njelledh	nylkeä; irrottaa tuohta
njielje	neljä
nieljie	neljä
njieljie	neljä
njieljede	neljäs
njieljehts	neljännes
nj̈ietsege	poron takajalan alempi ydinluu
njilledh	nylkeä; irrottaa, kiskoa (tuohta)
njoeje	rinne, myötämäki
njoektjeme	kieli
njoelkedasse	sääntö
njoetjeles	taipuisa, pehmeä
njoetsedh	kypsyä; pehmetä (kala kun se on liossa)
njoetseldh	kypsynyt, kypsä
njoevege	kalanperkeet, sisälmykset
njolledh	irrota (puun kuori)
njylledh	irrota (puun kuori)
njuana	niemeke (joenhaarojen välissä)
njuenie	nenä; turpa
njulhtjedh	hypätä
njulhtjestidh	hypähtää
njuvvie	virta
njæssoe	lämpimähkö auringonpaisteinen sää
njööredidh	nousta (auringosta), koittaa
njåalodh	nuolla
njåemele	jänis
njåetsie	hartiaviitta
njårkoehtidh	viheltää
njååjte	rinne, myötämäki
noeledh	irrottaa, purkaa, avata pakkauksesta, riisua
noelestidh	riisua nopeasti
noere	nuori
noerhtelen	pohjoispuolella
noerhtelistie	pohjoisesta, pohjoisempaa
noerhteraedtie	(tunturin, vuoren) pohjoispuoli, sivu
noerhtese	pohjoiseen päin
noeve	sieni
noh	ja
nojjedidh	hymyillä
nomme	nimi
nommelaehpie	yli 6 1/3 vuotias urosporo
nommelaehpije	yli 6 1/3 vuotias urosporo
nommestehtedh	kutsua nimeltä
nossedh	puuhailla, touhuta
nov	niin, kyllä
novh	niin, kyllä
novh amma	toki
novh hævvi	tietenkin, luonnollisesti
novh maa	jo toki, niin kyllä
nualan	alle
nuarvan	likainen, roskainen
nuehtie	nuotta
nuekies	kyllin, kylliksi
nuelesne	alla, alapuolella
nueleste	alta
nuepie	tilaisuus, mahdollisuus
nuerebe	nuorempi
nulle	nolla
nyjsenæjja	nainen
nyöjhkedh	kieltää; kieltäytyä
nænnoes	vahva, voimakas
nööredh	ehtiä, joutaa
Nöörje	Norja
nåake	huono
nåhkedh	loppua
nåhtadidh	hyödyttää; käyttää
nåljode	sarveton, nupo
nåå	niinpä
nåånåå	heihei
nååte	vaimon veli tai sisaren tytär 
nåts	entäpä
nååts	entäpä
ohtje	pieni
ohtjegåetie	vessa
ohtsedh	etsiä, hakea
ohtsedidh	etsiä
ohtseme	hakemus
ohtsemebiejjie	hakuaika, määräpäivä
ojhte	juuri (niin)
okse	ovi
oktegh	yksin
olkese	ulos
olles	jottei
onne	pieni
onnegåetie	vessa
onnevielle	pikkuveli
onneåabpa	pikkusisko
onterdidh	miettiä, ihmetellä
orre	uusi
orrejaepie	uusi vuosi
orresistie	uudestaan
orrestehtedh	uudistaa
orrijidh	jäädä paikalleen, pysähtyä; lopettaa
ostedalledh	viettää aikaa
otnerasse	kotakorva (kaareva kodan rankapuu)
ovjuvre	peto(eläin)
ov jösses	jestas sentään
ovledh	tulehtua	
ovmese	kaikenlainen
ovnohkens	tuntematon
ovnuhtege	paha, tuhma; hyödytön
ov	aivan	
ovve	aivan	
paagke	paketti
paanne	(paistin)pannu
paehpere	paperi
peennagåetie	penaali, kynäkotelo
peara	peruna
peehkedh	pakata
plaave	sininen
plaerie	(sanoma)lehti
pleasoeh	hidas huomaamaan, huononäköinen
plïehtje	laakea
plïehtjegaerie	lautanen
pliejhkies	kalpea
pluahta	lautta
pluevie	suo
plusse	plus(sa)
plæjjohke	lyijykynä
praare	jyrkkä
pradtjedh	rehkiä, rasittaa itseään
prïejhke	saarna
prievie	kirje
prïhtjegadtje	vähän kahvia
prïhtjege	kahvi(juoma)
prïhtjegh	kahvi(pavut, jauhe)
prïhtjhgiebnie	kahvipannu
prïhtjhgåetie	kahvila	
provhkedh	pitää tapana; käyttää
provne	ruskea
provnedh	punoa yhteen
provnelaaketje	ruskeansävyinen
provneldahke	punos
pruvredh	mennä naimisiin
pruvre	häät
pruvres	naimisissa
pruvrese	morsian
pruvvie	silta
pryövedh	kokeilla, yrittää
pæhperh	pippuri
påajke	poika
pååjke	poika
påaske	pääsiäinen
påaste	posti
påastegåetie	postitalo
raahkeldidh	kuljeksia, vetelehtiä, viettää aikaa
raahkoestidh	onkia jään alta, pilkkiä
raajan	asti, saakka
raajnes	puhdas
raajne	puhdas
raajsedh	haljeta
raakte	juuri, aivan, lähes
raakth	juuri, aivan, lähes
raarhkoe	poroerotus
raavnije	pihlaja
raavre	rautu
radijove	radio
radtjoes	reipas, tehokas
raedtie	reuna, syrjä
raeffie	rauha
raejeste	alkaen
raejkie	reikä
raejkien	pitkin
raejkiedidh	rei’ittää
raejrie	ukkonen
raejrienvearelde	ukonilma, ukkossää
raerhkedh	erottaa poroja
raerie	neuvo(sto)
raerievedtije	neuvoja, konsulentti
rahtjedh	pyrkiä (menemään)
rastah	poikki, yli
ravve	takamus
reagka	rengas; suopungin sarvikiela
reajnoe	petovaara (kun on peto poroja ahdistelemassa)
reakadidh	syntyä
reakasovvedh	syntyä
reakedsbiejjie	syntymäpäivä
reakta	oikeus
reaktaaamhtese	oikeusjuttu
reaktaåejvie	(pää)tuomari
reaktoe	totta, oikein; oikeus, totuus
redaktööre	toimittaja
reejnedh	perata; kuoria
reejredh	telmiä, leikkiä (äänekkäästi)
rehpie	katto
riehpene	räppänä, (kodan) savuaukko
riejries	(lähtö)valmis
rïeksege	riekko
rïekte	suoraan; suora
riepie	kettu
riepieråaksoe	kettunaaras
rïesegh	koristeet; kukat
rïeseldahke	koriste
rïevhkestidh	polttaa tupakkaa
rïevtje	kylmä sateinen sää
raavtje	kylmä sateinen sää
rïgkesjidh	soida
rïhpestidh	avata
rijtedh	panna, pistää (jonnekin)
rikti	oikein, hyvin; kunnossa (oleva)
ringkedh	soittaa puhelimella
rïrresjidh	parkita
rïsnjedh	kerätä (polttopuita)
risjnedh	kerätä (polttopuita)
rissie	tihkusade
roehtedh	juosta (kahdella jalalla)
roehtse	juuri
roevtedh	palaa, saada liikaa aurinkoa
rohkejaavvoe	ruisjauho(t)
rohkejaavvoeh	ruisjauho(t)
Romsa	Tromssa
rovnegs	kummallinen, erikoinen, outo
ruaksja	paisti, reisi
rudtje	selkä
rudtjemåaroe	selkäruoto
ruerhkie	seisoneesta poron verestä erottunut hera
ruevtie	rauta
ruevtieraajroe	rautatie	
ruffie	kesäkuu
ryöhkedh	ulottua; kestää (ajasta)
ryöjnesjidh	paimentaa
ryöjnesjæjja	(poro)paimen
ryöjredidh	valmistautua
ryöknedh	laskea
ryöknemegærja	laskuvihko, kirja
ryöknesovveme	laskettuna
ræjhkoes	rikas
röönjedh	raivata
rööpses	punainen
rööpseslaaketje	punertava
röövre	pyssy
råahke	työporo, vetoporo
råakedh	tavata, kohdata
råanjedh	sataa kaatamalla
råanjedimmie	kaatosade
råantjoe	kastroitu poro, härkä(poro)
råate	ilves
råavkedh	roukua	
råavkoe	rouko, talja
råhtoe	tiheä (kuusi)metsä
råtnoe	runo(vaadin), maho vaadin
saajve	maahinen
saakoe	saha
saalege	aukko, kuilu
saalehte	saalis
saalhtetjh	hiukan suolaa
saalje	paju, raita
saalmegærja	virsikirja
saarnodh	sanoa, kertoa
saarnoeh jeahtah	sanopa se
saatnan	tosi, totta
saedtie	hiekka
saedtietjeallere	maakellari
saedtieåårke	hiekkaharjanne
saehtedh	kuljettaa, viedä; lähettää pois
saejrie	sei, seiti
saejriedidh	särkeä
saelhtie	suola
saelhtieh	suola
saemie	saame(lainen)
saemiestidh	puhua saamea
saernie	uutinen	
saevrie	kostea, irtonainen ja karkea kevätlumi
sagki	kovasti, kovin
sagke	kovasti, kovin
salkedh	harsia
samhkedh	autereinen sää
sarva	hirvasporo
satne	hän (itse)
seadtoe	rauha
seadtoes	rauhallinen, rauhaisa
seakoes	käheä
seakoe	käheä
sealadidh	kuolla (ihmisestä)
sealkedh	laskea maihin (vene), lipua rantaan
seamma	sama(nlainen)
seammaplïeres	samanlainen, samankaltainen, samannäköinen
seangkoe	sänky
seangkoegaptjese	sängynpeitto
seasa	täti, isän sisko
seedtedh	lähettää
seenhte	myöhä(inen)
sïejme	siima
sïejpe	susi
siejpie	häntä, pyrstö
siejpiegietjie	hännänpää
siekierdidh	kaivata, haluta syödä
sïelkedh	lipua rantaan
sïemes	yksimielinen
sïerkestahke	pajukko
sïerrenohke	vieras
sïesele	veljen lapsi (seasalle)
sïevehtidh	vilkuttaa
sigkedh	vetää
sigkestidh	vetäistä
sih	he (lyhyt muoto sanasta sijjieh)
sïjhtedh	haluta
sijhtie	hylly; säilytysteline, lava
sijjie	paikka, sija
sïjse	sisään
sïjte	siita, lapinkylä
sïlle	syli; askel (pituusmittana)
sïlpe	hopea
sïlpebeetnegh	hopearahat
sïlpevæhta	hopeamitali
sïmmedh	kuiskata
sinsitnien	toistensa	
sirrie	mustikka
sïrve	lammas
sisnie	sisällä
sissie	hiha
sistie	sisältä
sisætnan	toisillensa; toisiinsa
sjaampove	shampoo
sjaavede	hiljaa, ääneti
sjaavedh	hiljaa, ääneti
sjalkedh	sulaa
sjeakodh	siivota, järjestää, kerätä kokoon
sjeavodh	hiljaa, ääneti
sjeavohth	hiljaa, ääneti
sjelhkiedidh	hupsia, laskea leikkiä
sjeltie	kaupunki, kirkonkylä; markkinat
sjïdtedh	tulla (joksikin); kasvaa; joutua (tekemään)
sjïjle	hiillos
