aahka	bestemor
vyöhkesidh	hjelpe hverandre
vyölkedidh	bli hvit; hvitne
våajodh II	synke
våaroeh	varer
våatjodh II	flyte opp (om fett)
våhkoe	uke
vååjnedh V	synes; vises; sees; se ut
våålese	ned; nedover
væjkele	flink
vætnoe	arbeid; håndarbeid
vïehkesadtedh IV	hjelpe hverandre
vïelle	bror
vïenhtedh IV	tro; mene
vïeredh IV	å telgje (med øks); barke av tre
vïjjedh IV	skjære til; klippe til for søm
vïjlelidh	kaste et blikk; se opp
vïssjehtovvedh	bli lei
vïssjeleslaakan	på en tålmodig og utholdende måte
vïtnedh VI	vinne
vöörhkedh VI	gjømme
vööste	i mot
åadtjestidh	fange inn; kaste med lasso
åadtjije-bearkoe	beinfritt kjøtt
åadtjodh II	få
åahpenidh	bli kjent (med person); bli kjent (med vei, landskap)
åajsodh II	makte; klare
åehpies	kjent; kjenning
åejjie-moere	den fremste av stengene som en hud spiles på
åemehke	avdød; salig; avdød mann eller kone
åenehks	kort
åestedh I	kjøpe
ålkode	utenfra
ålkoe-okse	ytterdør
ålkone	ute
ånnetji	litt; o men kort stund
årra	hannrein
årrodh II	være
åvte-bielie	framside
åvte-nuelie	kjøttet på reinens framfot
åvtelisnie	foran; lenger fremme
åvtes-juelkie	framfot
åvtese	fremover
åvtesne	før, før i tiden; tidligere
åågkesjidh	dufte godt
ååredæjja	ansikt
åårke	smal lang banke; flataktig landrygg
